Unnamed: 0,Airline Name,Overall_Rating,Review_Title,Review
633,afriqiyah airways,7,afriqiyah airways customer review,brujnbbru with a stopover in tripoli there were some troubles with the inflight entertainment on our way to jnb there were not enough headsets so we couldnt use the inflight entertainment on our way back from jnb to tripoli the inflight entertainment in our part of the plane didnt work at all the food was okay and the cabin crew friendly its definitely value for money but there are some things to improve
21928,virgin australia,7,staff were friendly and helpful,check in was straightforward and the plane left on time staff were friendly and helpful all food and drink except coffee tea and water had to be purchased which was no big deal as the flight was about two hours
16656,regent airways,4,mannerless attitude,unprofessional mannerless attitude we flew from dhaka to coxs bazar at new years eve due to govt election flight was delayed 15 hours but they didnt mention that before after sitting on the aircraft we came to know about that we were stuck into the flight for all that time the ground staffs behaviour was nice and professional but the cabin crew acted like they are also some guest passengers there even after asking for newspaper they didnt even bother to manage one
21775,virgin america,3,bad attitude by gate agent,los angeles to seattle really poor service and bad attitude by gate agent unnecessarily gave me a hard time despite being first class unfriendly staff attendants that kept complaining about becoming part of alaska and how different the culture between the two airlines is lounge was cramped and hardly had any good food
16371,qantas airways,1,no customer service whatsoever,qantas has gone from best to worst airline in the world to be avoided at all costs no customer service whatsoever promised to reply to our generous bid for upgrades no reply upon complaining they said we applied for wrong leg of flight when confronted with evidence they said flight was full
21887,virgin australia,5,didnt provide us with a snack for free,i just paid 950 for a flight from perth to sydney its over 4 hour flight and they didnt even provide us with a snack for free i strongly believe they should provide passengers a meal on this long flight especially when you are over charging i will definitely be giving business to qantas who provide free meals on the longer flights in australia
5372,bangkok airways,9,definitely a boutique airline,bangkok airways is charging very steep prices for a route they have a monopoly on and takes only about an hour and 15 minutes to complete in an older atr 72500 in which you definitely can notice the age airport is quite a distance from mandalay and you are required to enter through security prior to checkin checkin was slow but were welcomed by a friendly agent who invited us to use their lounge bangkok airways is definitely a boutique airline that offers complimentary drinkssnacks at certain airports for their economy passengers too lounge was ok with a limited snack offer hot food and alcohol you would be charged for boarding was slightly late and went by stairs to ground welcomed by two lovely cabin crew and took only 15 minutes to get airborne complimentary meal provided with drinks cold unfortunately as there is no galley in an atr landing was hard but on time and we were quickly through customs
18233,singapore airlines,9,special praise for air stewardess,i would like to give special praise for air stewardess nurul who served me at the premium economy cabin she has been very proactive in asking and suggesting drinks and snacks to eat throughout the trip very friendly good listener and very conversant
7860,cubana airlines,4,service even more basic,departure from toronto march 31st started off with the check in desks not being ready when i arrived but they set up a little later didnt appear to be any issues with the departure time of 1250 flight ok service ok basic notice no movie screens no ear phones issued no pillows or blankets provided flight went smoothly and arrived at scu on time return was another story entirely ive noted from other reviews that cubana appears to have developed a steady pattern which may now be a practice of not being on time major delays and very poor to no information being communicated to passengers yes airlines experience delays and equipment problems but in this day and age what continues to happen with both of these companies is not acceptable so for the return the 605 departure on april 7th from scu was originally on time but then it was delayed no explanation as to why at approx 730 or 8 an official came into the departure lounge and passengers went to speak with him to find out what was going on we were told the flight wouldnt be leaving until 3 am we asked about being taken out of the airport and accommodated for more comfort etc due to the length of the wait and were told no we asked about food and refreshments and were told that was being organized the timing of the departure changed 3 more times after that moving to 10pm and 11pm that night and then finally an empty jet arrived at 1220 rumour had it that there was a problem with the flight coming down from toronto and it had to turn back same thing with a flight that was allegedly coming from havana we were also told that they had to get permissions in place for our plane to land at toronto in the wee hours of the morning eg 230am once the empty jet landed and we loaded we took off at 130 am service even more basic than the flight coming down drinks and a snack were served but nothing else no duty free offered and again no earphones no movie screens no pillows or blankets we flew without any incident landing in toronto at 530 am a lot of passengers had to miss work school that day because of the toll all of that drama took again by this point in time cubana and hola sun seriously need to pull up their socks and change their ideas and approach towards their schedules and their approach especially with regard to providing better communications and information to the travelling public there are limited airlines that fly into santiago but that doesnt mean cubana has any sort of monopoly and can treat passengers like that
18086,silkair,6,movie and entertainment choices limited,bandung to singapore with silkair the food was good we had fresh salmon for our lunch you need to use your personal devices in order to connect to the onboard entertainment system movie and entertainment choices limited the aircraft looked old and interior not so great compare with the newer cabins
3374,airasia philippines,9,cannot fault their service,davao to manila swift checking again having used this airline many times when travelling internally in the philippines and i cannot fault their service crew are always friendly cabin always clean more so price wise very competitive
10113,frontier airlines,1,has been the worst flight experience,we booked a flight straight back to cincinnati and this has been the worst flight experience dont ever fly with frontier we knew they were bad ie dont offer food for a three hour flight unless you pay dont let you have a jacket inhand unless you are carrying it but they were incredibly cheap so against our better judgement we booked it it got delayed for 2 hours and as were in line we get an email saying its cancelled do not fly with frontier
14675,meridiana,7,would fly meridiana again,although meridiana is very basic we had great experiences flying new york jfk to naples and back a few weeks ago check in was quick and efficient at both airports and they let me check my somewhat large although within allowance carryon free of charge both ways the seats though are tiny im 510 and my boyfriend is 61 and if we had known we would have paid extra for the comfort seats with extra legroom for a long flight to italy this was not ideal but i should have done my homework so i cant blame the airline the plane was a boeing 767 both ways and was old and sort of dirty but quiet and it was a smooth flight both ways the food was fine on the way into naples but on the way home it was atrocious the flight crew is totally uninvolved and stays at the back of the plane for the duration of the flight but when they did come around for meals and beverages they were pleasant enough the movies were corny romantic comedies but dealable all in all i got what i paid for a 600 round trip ticket to italy is not something im going to complain about the trip there was better than the trip home but i would fly meridiana again in the future for the value alone
22740,wizz air,8,the flight itself was provided,efficient boarding it was complete almost 20 minutes before departure time then we waited in the airplane 45 minutes because of some airspace restrictions landing was about 5 minutes behind schedule cabin crew stick to the rules and no seat change was permitted as usual no free catering and nothing else but the flight itself was provided the promise to take us from a to b was fulfilled
15988,philippine airlines,4,flight attendants are very hospitable,we were served 2 meals for my 9 hour flight and the serving is i would say is complete flight attendants are very hospitable and willing to help for the negatives crowded leg space for economy class for their dxbmnl flights they are using the same crowded aircraft for many years and not one ounce of this have improved im stuck with the same airline over and over again because its my employer who chooses the flight and not me not only the leg spaces are crowded the inflight entertainment is inconvenient they have but you have to download an app for it on your mobile and connect to the aircraft wifi while thats not a bad idea this consumes battery and seats dont have charging slots it feels like they never considered improving their middle east flights since most passengers are filipino expatriates but of course their flights going to countries such asus canada uk australia are way better better leg space and actual screens for inflight entertainment not to mention all of my flights to dubai from manila are late 12 hours delayed
12771,kenya airways,8,i had a pleasant flight,after booking my ticket i was very much afraid of all the negative reviews i have read but fortunately i had a pleasant flight both flights departure was on time luggage was received in good condition only thing that can be improved may be the food some extra items can be added
6607,cathay pacific airways,8,satisfied with the trip,the flight was about 60 occupied the economy class seats are just alright about the same as other airlines the entertainment is nice screen is large plenty of moviesshows and documentaries the cabin crew are responsive and quick to approach me when i pressed the bell for help meals are pretty good i also bought the wifi which cost 20 us dollars for the 2hr 40 mins flight the service quality is about the same prepandemic all in all im satisfied with the trip overall
14490,malaysia airlines,7,a reasonable flight,kullhr on 20 october in economy plus which means extra legroom in front of the economy cabin boarding in kl was well managed and the aircraft left on time the cabin crew were pretty much absent on boarding but the purser of the flight was very amiable and friendly and went out of his way to greet passengers and chat to them a shout to rufus the purser who even lent me his personal charging cord and plug when mine failed he went out of his way to assist cabin service was efficient but staff didnt really interact with the passengers but remained pleasant and cheerful the ife was poor big screens good resolution but disappointing content the seat was comfortable and there was plenty of legroom the food was awful very small portions and not tasty their signature nasi lemak was very disappointing but they did serve two full meals and one minuscule tuna roll midflight the fas kept is well watered but alcohol choices were poor and not made clear to passengers overall this was a reasonable flight and everything went smoothly apart from the food which could be much better
6170,brussels airlines,7,it was a good flight,it was a good flight and the cabin crew was friendly and will try to help you if you have a question it was an a320 without entertainment i remember having more leg space in the a320s from vueling lowcost than i had with brussels airlines
8669,emirates,5,onboard internet simply does not work,the onboard internet simply does not work if you complain the supplier for emirates sita for aircraft simply refuse to acknowledge that they failed to provide a service and issue a refund it appears from multiple reviews that this happens often emirates themselves apart from the nonexistent internet and poor third party aftersales experience were pretty good ample leg room friendly staff good selection of movies but poor food choice fish or vegetables only the checkin was also poor i followed the check in signs for economy seats at dubai airport t3 waited for around 2030 mins before being told to check in at desk 5 flights to usa i wasnt flying to the usa how am i supposed to know to follow that sign very poor understanding of the customer journey
16123,play,9,planes are as clean as can be,brand new airbus planes that are as clean as can be friendly cabin crew and ground staff the departure time out of iceland is not the best but its understandable that they are given the worst timing slots as being the newcomer on the market
2975,air tahiti nui,3,air tahiti nui customer review,once on the plane it was great but ground team was horrible and inept we boarded at lax for cdg and were amazed at the lack of urgency or customer concern as the plane sat empty and the gate agent sat talking on her cell phone we all looked on amazed 45 minutes after we were scheduled to board she announced we would be boarding 15 minutes late due to the plane arriving late although it had been parked at the gate for hours as we waited clearly she had not looked at a clock this caused us to depart over an hour late unfortunately we were on this trip during the iceland volcano eruption air tahiti once again proved how little they cared i called the airlines 3 times about a flight only to be hung up on by the attendent once we had a flight we were told to be at the airport 4 hours ahead of time due to the challenge from the volcano we arrived 4 hours early but the agents did not we all 350 of us waited in line when they did show up it took them 45 minutes to get ready have coffee chat laugh joke and enjoy themselves all in front of us without any communication with us zero urgency or concern for all of us who had been waiting days to get on a plane once ticketed we went to the gate plane was there flight crew was there but not gate agents for hours we waited until they showed up and even longer while they organized themselves it was like a circus show watching them the whole ordeal was so ridiculous and unnecessary the ground team has no care or concern or urgency for the passenger i will never fly this airline again they didnt earn any stars with us
2338,air memphis,2,air memphis customer review,had booked for the wife and i to go to luxor for the day booked in advance through thomson holidays i thought it would be egyptair but getting onboard found out it was an air memphis md83 on entering the plane you could see how old it was old seats equipment etc it stank of aviation fuel at the back which is where we were sitting it was only a 30 minute flight to luxor but i was so glad that is all it was it was ok and they gave out little cartons of juice to take up the time
10305,georgian airways,3,strive mightily to avoid them,gatwick to tbilisi i purchases tickets in august for a november flight we were arriving from the us to gatwick and were to connect same day from gatwick to tbilisi georgian air decided sometime september october to change to a fall schedule which did not include a monday flight to tbilisi georgian air never emailed or called we learned approximately 3 weeks prior to our late november flight that we would be arriving in london on a monday but could not connect to tbilisi until wednesday georgian air never 1 attempted to place us on another carrier for same monday 2 offered a partial or full reimbursement for the flight or expenses or inconveniencenor 3 apologized at all georgian air placed me on the wed flight and said all is fine your flight is good for wed this cost me 2 hotel nights in london not cheap plus train tickets tofrom gatwick to hotel plus food for 2 days and we missed the business meeting that we were flying to anyway for a 5 hr flight they rattle around for the first 2 hrs then wake you more than an hour prior to landing for no apparent reason so dont plan on getting to sleep any significant amount the crew is friendly and seem very competent but the airline is apparently disorganized and has no idea how to compensate clients when they cost them unbudgeted funds i may have no options but this airline in the future but i will strive mightily to avoid them
8975,etihad airways,4,flight attendants outright rude,not worth the money paid business class service similar to that of a public tram flight attendants outright rude havent seen this attitude even in economy no bed linen or turndown service as different from emiratesturkish business class coffee machine not working for which i havent received even an apology air dhabi airport is a joke compared to dubai istanbul or singapore not fit for a decent layover business lounges packed with crying babies and dirty pampers literally every sit packed people playing videos and tiktoks on high volume staff chit chatting all flight with each other instead of serving customers not once has anyone asked whether everything was fine or i needed anything the chitchat was so loud i had trouble sleeping i had to ask the staff to keep it quiet a request that they completely ignored all for the 3500 ticket price as if this wasnt enough the epitome of the flight was at the end the business class toilet was occupied for a long time when the door opened a flight attendant came out i rushed in to brush my teeth and discovered a think air of electronic cigarette smoke you cannot confuse this smell with anything so apart from customer negligence poor service and low value for the money this airlines own employees are breaking the law and international flight regulations
18872,spicejet,1,i havent come across a worse service,i havent come across a worse service than the one offered by spicejet on 5th november 2022 i was travelling from delhi to udaipur on 5th nov for a vacation not only was the flight cancelled without informing us wasting hours at the airport booking new flight basis availability but they did not even have the decency to refund the amount that was spent booking the flights i am sick and tired of calling spicejet customer care but no one picks the calls i know many customers here are thinking that this might be a 1 of incident but trust me i have faced multiple issues with spicejet in the past and if it can happen to me it can happen to anyone reading this as well save yourself some trouble and book another airline for your own sake cant expect anything from from the airlines after this pathetic service
21190,turkish airlines,6,be prepared for screwups,check in fine but the tsa pre check did not show up even though i had provided all the info and confirmed that by phone lounge shared star alliance at lax tired dirty hot crowded did find outdoor space which was a relief was there about and hour and a half saw no one picking up dirty plates glasses napkins got to gate 15 mins before boarding was to start told to wait here and well make an announcement for boarding boarding started 35 mins after scheduled time no announcements eventually an employee said business line up over there and theres a long line of people who probably were given different info not a huge issue but the bad experience kept getting more irritating the plane fine well equipped very helpful and welcoming staff but theres poor info on the website about the seats seat map shows 2 seats an aisle and 2 seats seat map of tk website is not accurate its actually one seat an aisle two seats an aisle and one seat so we were a couple on a 13 hour flight separated by an aisle and the two seats were offset by approximately 15 inches so we couldnt even converse across the aisle not a fatal flaw but an example of sloppiness we took off an hour late with no explanation or a were sorry comment which would have been a nice touch so trying to balance it out with a real life experience im still answering yes id recommend it but be prepared for screwups and if you are two flying together take the middle two business class seats on this equipment
3828,alaska airlines,8,great customer assistance by the staff,smooth flight round trip and witnessed a lot of patience and great customer assistance by the staff one of the 6 american airlines i will fly with and i have flown on small and 4 seater planes and have followed airline travel for decades since i am a huge travel buff safety is number one then customer service then cost then on time departures
10973,hi fly,8,well trained and professional staff,amsterdam to new york i flew hi fly on a norwegian flight an older jet the interior was outdated a bit the overhead reading lights could only be turned on from the crew one of the bathroom sinks wasnt working there were only about 6 movies and 2 tv shows to be entertained from but if you are flying 8 hours you should know to bring some sort of entertainment with you seats were cloth not leather if that matters the crew more than made up for any shortcomings i felt like they had a full crew of well trained and professional staff but they were pleasant smiled and made sure our drinks were taken care of since we also bought meals they were likely one of the best crews that i have ever flown with i fly about 30 times per year all in all sure it wasnt a boeing 787 but they got us where we were going
4682,asky airlines,3,my bag was damaged,i flew to lome from johannesburg when l got my bag at arrival in lome the luggage wrapping was removed and my bag was damaged i reported to asky offices and they requested that i give them my empty luggage for investigating which i did they promised to give my feedback before i return as i was in lome for a week they never called back i had to buy another suitcase i have sent numbers of mails still no response except to acknowledge my query the staff on board was rude to me ne got so upset with me for asking her to give me a 2nd cup of tea
19993,thai airasia,1,very friendly and helpful,this was my second thai airasia flight this year flying from hong kong to chiang mai the prior one being from cnx to hkt in january i paid extra for the hot seats and had seats in row 1 each time these seats have plenty of legroom and werent that much more money i also prepurchased meals on a couple of the flights and prepaid for checked baggage on my flight in january i found the fas on all flights to very friendly and helpful as were the ground staff the hot seats get you priority boarding which is good if you have carry on the prices for drinks on board are also very reasonable i paid 3 for a singha beer which is a bargain considering us airlines will charge 7 for a beer all in all i had good experiences on all my flights with them and would not hesitate to use them again
23099,yemenia,7,yemenia customer review,ruhsanaa return on time on both legs ruhshh sector was run by the customary a319 which look tired and old no ife and food was inedible shhruh sector a newer a330 was used but still no ife food on this sector was passable scrambled eggs and foul on both sectors staff ensured that security procedures were adhered to which was reassuring
6957,china eastern airlines,6,tickets were extremely cheap,flew with china eastern from gatwick to bali via shanghai and back to heathrow flight from gatwick was poor compared to the flight back to heathrow on the return leg the food was good and flight attendants attentive however the flight from gatwick could be much improved we were served food within an hour of departure and then didnt see the flight attendants again until two hours before we landed an almost 8 hour absence no snacks no water 8 hours flight to bali on old a330 no entertainment and again limited fa presence however tickets were extremely cheap and so long as you stock up with water and snacks before the flight it is worth travelling with them for the cheap tickets
7030,china southern airlines,8,gave me the best service,this flight experience made me feel very good the staff of china southern airlines were very friendly and gave me the best service i will choose china southern airlines in the future
2627,air niugini,5,air niugini customer review,bne to pom pom to mt hagen and return was very impressed with service cabin staff could not be faulted and very obliging and friendly
2239,air mauritius,6,i would recommend this airline,overall quite pleasant experience in business class seat 2a two hours late leaving heathrow due to a technical issue caused by the pushback truck no fault of air mauritius during that time the air steward and stewardess came around with more champagne and small a packet of snacks and kept us updated once airborne the service started promptly with delicious meals and attentive service from the air steward the catering out of heathrow is delicious and a lot better than coming from mauritius the catering from mauritius needs improving seat is quite spacious however i found it quite hard when sleeping british airways business class seats are more comfortable and have better padding i only managed to get a few hours sleep perhaps air mauritius should provide a mattresstopper like to put on top of the seat to provide more padding as they do in other airlines as part of their turndown service the air steward was very polite and addressed me by name no wifi was available on that particular aircraft the air steward said that it was the only airbus a350 of the fleet which didnt have wifi i would recommend this airline the cabin product could be better but the cabin staff makes up for it
22009,vistara,9,really help a lot to get it clear,i was coming from usa and having connecting flight to lucknow at the time of baggage checking the staff shakshi helped me a lot as there was one bag extra and i have already paid for that but somehow its was not showing in their website this girl really help a lot to get it clear
7015,china southern airlines,7,seat plane and amenities are super clean,despite 11 hr gzakl flight time the whole experience felt only 4 or 5 hours thanks to excellent sleep made possible by 180 degrees lieflat seat the seat strangely enough isnt comfy when its in recliner mode much better in normal seating mode with leg restlumbar support adjustments the message function is awesome however the seat design isnt really for storage of bagsshoes the spaciousness of the seat is more for writing and putting many dishesitems etc nevertheless space is plenty in overhead locker the cz business class experience isnt designed for people who want luxuriousspecial flight experiences its more for passengers who want good products great chinese food and things that just work the seat plane and amenities are super clean the punctuality is outstanding the service is more on the practical and taskcompleting sides than those of emiratessingaporeqatar airlines great attendance efforts and politeness despite not being fluent in english the crew are very hardworking and proactive in helping people its remarkable that it wasnt too long ago since china southern resumed its normal ways of operation to have abundant numbers of staff seven even for notbig business cabin is quite impressive
